ID,Region,Annee,Saison,Temperature_C,Precipitations_mm,Humidite_pct,Amplitude_Thermique_C,Couverture_Forestiere_pct,Biodiversite_Shannon,Eau_Stagnante,Densite_Faune,Densite_Population,Urbanisation,Acces_Soins,Deforestation_pct,Fragmentation_Habitat,Cas_Humains,Prevalence_Animale_pct,Reservoirs_Animaux,Transmission,Agents_Sante_1000,Capacite_Laboratoire,Risque,Type_Ecosysteme,Groupe_Climatique
ECO_00001,REG_0063,2022,Été,7.9,69,56,6.4,61.1,2.08,0,3,55,3,4,41.6,3,245,1.5,3,5,5.66,6,Faible,Savane / Zone Agricole,Tempéré
ECO_00002,REG_0095,2019,Été,21.4,493,61,3.6,18.2,1.84,0,3,445,4,4,16.5,6,90,8.6,5,7,2.76,3,Faible,Savane / Zone Agricole,Subtropical
ECO_00003,REG_0077,2022,Hiver,29.4,390,69,2.0,35.4,2.11,1,8,186,7,6,11.1,3,140,10.1,1,3,0.34,5,Faible,Savane / Zone Agricole,Tropical
ECO_00004,REG_0068,2011,Printemps,24.2,1019,68,10.9,21.0,1.41,1,2,80,1,7,14.1,6,355,8.1,3,6,8.35,2,Faible,Savane / Zone Agricole,Subtropical
ECO_00005,REG_0141,2012,Automne,29.1,1183,63,25.0,61.0,1.87,0,4,231,2,3,7.0,9,215,7.2,2,8,1.58,4,Faible,Forêt Dense,Tropical
ECO_00006,REG_0023,2010,Automne,26.4,611,50,4.9,37.6,3.65,1,6,426,3,3,2.7,5,150,12.8,3,8,2.1,5,Faible,Forêt Secondaire,Tropical
ECO_00007,REG_0011,2019,Hiver,16.9,934,77,12.4,17.5,0.76,0,5,823,2,6,18.5,6,210,8.3,4,7,2.72,5,Modéré,Savane / Zone Agricole,Tempéré
ECO_00008,REG_0098,2023,Automne,17.0,1191,68,5.3,10.7,1.87,0,5,707,5,2,16.6,2,100,6.0,6,9,2.75,4,Faible,Savane / Zone Agricole,Tempéré
ECO_00009,REG_0041,2019,Hiver,21.6,362,66,10.0,9.2,4.0,0,5,283,2,3,23.1,6,200,2.4,1,7,9.47,4,Faible,Savane / Zone Agricole,Subtropical
ECO_00010,REG_0102,2020,Été,37.1,501,53,18.8,44.3,3.58,0,8,198,2,6,23.4,8,195,2.1,3,6,1.77,4,Modéré,Forêt Secondaire,Tropical
ECO_00011,REG_0112,2019,Été,31.6,717,37,16.3,31.7,1.37,0,5,404,7,5,20.6,5,400,4.6,4,5,2.42,3,Modéré,Forêt Secondaire,Tropical
ECO_00012,REG_0145,2020,Automne,29.6,882,59,5.5,22.1,2.4,0,5,67,2,3,11.4,2,240,12.3,1,3,1.38,2,Faible,Savane / Zone Agricole,Tropical
ECO_00013,REG_0065,2020,Automne,7.3,1908,83,5.8,46.1,4.0,1,6,202,7,6,27.1,9,100,8.5,5,6,3.97,7,Modéré,Forêt Secondaire,Tempéré
ECO_00014,REG_0118,2024,Hiver,15.0,1908,46,3.7,43.6,1.19,0,9,223,4,3,19.8,3,175,2.6,5,1,3.55,3,Faible,Forêt Secondaire,Tempéré
ECO_00015,REG_0004,2017,Automne,30.7,845,67,5.1,47.6,1.09,1,3,88,2,8,30.0,7,500,4.8,2,10,2.72,3,Faible,Forêt Secondaire,Tropical
